no_of_dependents,education_encoded,self_employed_encoded,income_annum,loan_amount,loan_term,cibil_score_encoded,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status_encoded
0,1,0,1100000,3300000,10,1,2800000,300000,2900000,1600000,0
2,1,0,2500000,8200000,10,1,1500000,4100000,5900000,2200000,0
4,1,0,500000,1300000,8,1,500000,300000,1500000,700000,0
0,1,1,9000000,32400000,10,4,16800000,5800000,20700000,9500000,1
1,0,1,5100000,20300000,18,4,11800000,3400000,13400000,3200000,1
2,1,0,5200000,13500000,2,4,7000000,5200000,15500000,6100000,1
5,0,1,4400000,8900000,4,4,8100000,1000000,14200000,3000000,1
1,1,0,1900000,4200000,12,4,5200000,1500000,5000000,2700000,1
4,0,1,9200000,26500000,6,3,1000000,400000,26900000,5300000,1
2,0,1,4800000,16500000,10,1,2000000,6500000,11400000,2900000,0
4,0,0,4900000,10700000,20,1,1200000,400000,11100000,6500000,0
3,1,1,4800000,10100000,4,1,9100000,5100000,16500000,3500000,0
4,1,0,9300000,24900000,14,1,27600000,4700000,35100000,13900000,0
5,0,1,7500000,24600000,8,3,1600000,3600000,16700000,9300000,1
1,1,0,5900000,16800000,4,4,11200000,9700000,22800000,7100000,1
0,1,0,9400000,27900000,6,1,21400000,18500000,35600000,7800000,0
5,1,0,5300000,13400000,8,3,1600000,200000,11400000,5300000,1
4,1,0,3700000,9000000,18,3,7800000,1600000,13400000,3100000,1
0,1,1,2500000,5800000,18,1,5100000,4400000,8500000,2300000,0
4,0,0,2800000,10800000,2,4,700000,2600000,7100000,4100000,1
0,1,1,5400000,21400000,8,3,8200000,6400000,16700000,7400000,1
5,1,0,3100000,9400000,10,1,200000,5300000,8000000,2800000,0
5,0,0,4800000,15500000,10,4,9500000,1500000,17800000,3500000,1
1,0,0,8800000,17500000,20,4,1800000,3600000,24000000,7400000,1
2,1,0,4100000,14900000,12,2,-100000,5200000,13000000,3400000,1
5,0,0,9700000,37000000,14,1,28700000,17900000,22800000,5600000,0
2,1,1,6400000,24100000,6,2,2500000,6300000,20200000,6000000,1
5,1,0,3400000,13100000,20,1,900000,4500000,8600000,4000000,0
4,0,0,3500000,10200000,12,1,7600000,6400000,8100000,3400000,0
3,0,0,3200000,10000000,18,1,3300000,100000,9800000,2100000,0
2,1,1,4900000,13100000,18,4,8200000,3300000,16500000,7200000,1
0,1,1,1300000,4800000,4,4,500000,100000,3300000,800000,0
4,1,0,2500000,5400000,10,2,3400000,1500000,9900000,2900000,1
0,1,0,7500000,27300000,20,2,11600000,2800000,26200000,6100000,1
2,1,0,700000,2000000,8,4,1900000,1100000,2200000,400000,1
4,1,1,8200000,28500000,2,1,6800000,11200000,26400000,11500000,1
1,0,0,6900000,26200000,4,1,14500000,11900000,14900000,9400000,1
1,0,1,1500000,5900000,16,1,4200000,2400000,4800000,1500000,0
3,1,0,6300000,18300000,18,1,1800000,9400000,17700000,3500000,0
0,0,1,8800000,25600000,10,3,25300000,2500000,34900000,8600000,1
4,1,1,8900000,20700000,6,3,1100000,9200000,20400000,6700000,1
3,0,1,2100000,6100000,8,1,5500000,600000,4500000,2900000,0
1,1,1,9200000,29200000,6,3,9900000,12900000,23400000,11700000,1
2,0,0,3600000,8000000,12,2,10500000,3000000,8900000,2700000,1
0,0,1,8600000,23600000,2,1,25800000,5300000,24700000,7500000,0
5,1,0,3000000,8000000,6,1,3200000,400000,8200000,2200000,0
3,0,1,5200000,16300000,8,1,9500000,7000000,13600000,7300000,0
3,1,1,7200000,20400000,10,2,0,13200000,27200000,10600000,1
1,0,1,4000000,15600000,12,1,10400000,2800000,14800000,3200000,0
1,0,0,2400000,5200000,2,1,6100000,3100000,8500000,1400000,0
2,0,1,5500000,18400000,10,1,6800000,4400000,18500000,4100000,0
0,0,1,9000000,24300000,10,2,12900000,3400000,26900000,6400000,1
0,0,1,7900000,24000000,20,3,18600000,15600000,21800000,7400000,1
2,0,1,6200000,21600000,20,3,18600000,2500000,24500000,9100000,1
3,1,1,7900000,29200000,4,1,23200000,5500000,30200000,6900000,1
3,0,0,1200000,4500000,6,4,1400000,1100000,4400000,900000,1
1,1,0,4700000,11700000,6,1,11800000,1100000,15100000,3700000,0
5,1,1,5900000,15600000,2,3,12600000,4700000,15900000,5900000,1
4,0,1,1400000,5100000,14,1,4000000,1000000,3200000,1400000,0
3,0,1,4700000,12800000,16,3,2200000,8600000,11700000,6100000,1
5,1,1,7600000,20000000,10,1,21500000,1400000,20400000,4300000,0
4,1,0,7200000,16900000,4,3,15900000,7100000,22000000,9600000,1
4,0,1,1400000,4300000,16,1,3600000,1200000,5300000,1000000,0
5,1,0,1400000,2900000,4,4,800000,600000,5400000,1600000,1
2,1,0,7900000,18500000,18,3,20200000,12400000,19600000,7100000,1
5,0,1,7600000,18700000,14,1,8500000,8500000,22200000,3700000,0
3,1,1,9600000,34200000,2,3,2500000,2000000,33000000,6700000,1
1,0,0,2300000,6600000,18,1,4600000,900000,9000000,1600000,0
2,0,0,8100000,18500000,6,1,19100000,10200000,31000000,7900000,0
2,1,1,300000,700000,4,1,600000,0,1200000,100000,0
4,1,0,4700000,10800000,20,1,11300000,6800000,17000000,4500000,0
5,0,0,1100000,2500000,4,4,2400000,1000000,4100000,600000,1
4,0,0,8600000,25100000,6,4,14400000,5000000,26000000,8300000,1
5,1,1,8700000,28100000,10,3,25500000,800000,25900000,10100000,1
0,0,0,2200000,8600000,4,2,900000,1000000,4400000,2800000,1
1,0,1,500000,1400000,10,4,900000,0,1700000,300000,1
0,0,1,9100000,22000000,12,1,25300000,15600000,31700000,7000000,0
1,1,0,2200000,8700000,12,2,500000,1800000,5700000,2400000,1
0,0,1,2200000,8000000,14,1,2800000,3700000,6900000,2900000,0
1,1,1,9600000,34500000,2,4,9500000,900000,32000000,9300000,1
1,1,1,6500000,13900000,8,1,9600000,300000,17200000,8300000,0
4,1,1,2400000,7400000,18,4,2700000,1600000,7600000,3200000,1
4,0,0,5500000,12300000,6,3,12900000,2700000,19800000,4300000,1
0,1,0,5000000,14400000,4,4,3000000,9300000,14100000,3900000,1
1,1,0,2700000,8100000,16,3,2000000,3600000,8100000,2100000,1
3,0,1,8500000,30300000,12,4,12700000,3700000,20000000,4200000,1
1,1,0,4400000,10700000,18,1,2200000,3300000,12700000,5400000,0
4,0,0,500000,1800000,20,4,900000,300000,1300000,200000,1
0,1,0,8300000,21400000,2,3,6100000,12300000,24500000,10200000,1
2,0,1,6000000,13000000,12,1,2100000,2500000,14600000,5600000,0
3,0,1,4000000,10400000,14,2,2100000,6900000,11700000,4600000,1
5,1,1,4400000,11700000,20,2,900000,2700000,15500000,2300000,1
3,1,1,4400000,15800000,18,4,7200000,5400000,14900000,3600000,1
2,1,1,1900000,5000000,14,2,1000000,900000,5500000,2400000,1
0,1,1,5000000,18400000,12,4,14600000,4000000,10500000,6500000,1
0,1,0,8000000,23700000,10,1,22200000,11600000,17200000,12000000,0
4,0,0,8200000,20700000,10,1,10800000,7000000,25000000,10600000,0
2,1,0,7000000,24200000,8,4,13700000,4100000,26100000,9100000,1
2,0,0,2400000,8800000,18,1,3200000,1500000,6700000,1400000,0
5,1,0,6600000,18800000,4,2,3200000,1100000,25100000,4300000,1
3,1,0,3200000,6900000,20,3,1500000,3700000,9200000,3100000,1
0,0,1,2600000,5400000,2,1,100000,4900000,6100000,2700000,0
3,0,0,6900000,15600000,20,1,4500000,3600000,20400000,4800000,0
4,1,0,4800000,14000000,2,3,11300000,1700000,15400000,4600000,1
1,0,1,300000,1200000,4,1,700000,300000,800000,200000,1
1,0,1,4300000,14100000,12,1,2100000,1100000,14100000,5500000,0
5,0,0,700000,2400000,20,1,1300000,700000,2500000,500000,0
5,1,0,9400000,25800000,14,2,28200000,15400000,30800000,11100000,1
3,0,1,800000,2900000,10,2,600000,500000,2900000,400000,1
5,0,0,4400000,14900000,4,4,8200000,6200000,14900000,3500000,1
1,1,1,4700000,14800000,6,3,8500000,6000000,13600000,6400000,1
2,0,0,2300000,5000000,8,4,1400000,1700000,6100000,1500000,1
5,1,1,8500000,26700000,10,4,500000,16600000,24400000,9600000,1
2,1,0,7600000,28300000,12,4,19700000,14800000,15600000,7800000,1
2,1,0,3200000,12600000,18,4,6200000,3500000,9600000,2000000,1
4,0,0,2400000,5000000,4,3,1500000,2800000,6900000,1400000,1
0,1,1,500000,1100000,18,1,1500000,500000,1800000,600000,0
3,0,1,8500000,28300000,2,4,25200000,4300000,18500000,10700000,1
0,1,1,8900000,20900000,18,2,18800000,700000,32700000,5300000,1
0,1,0,2800000,5600000,8,4,0,1300000,6100000,1900000,1
3,0,1,2900000,7000000,4,4,5700000,5600000,5900000,3000000,1
1,1,1,4900000,17700000,8,3,9200000,7300000,16400000,3000000,1
5,0,0,9600000,20700000,14,1,25800000,9800000,31800000,8200000,0
3,1,1,3300000,9800000,6,1,4500000,600000,11000000,4400000,0
3,0,0,2800000,5900000,4,1,1600000,400000,8900000,2800000,0
2,1,0,7800000,22200000,10,3,9700000,4600000,23000000,6900000,1
4,1,1,2500000,8400000,12,4,6300000,1300000,8400000,1600000,1
0,1,0,4400000,10600000,20,3,6800000,4600000,16800000,5400000,1
0,0,0,7900000,30800000,4,3,5000000,14600000,23800000,5500000,1
1,1,0,8900000,22600000,18,2,8400000,15500000,27900000,11700000,1
0,1,0,5600000,13400000,2,1,3400000,4100000,14800000,4100000,0
1,0,0,1400000,3300000,8,1,3200000,800000,2700000,800000,0
5,1,1,500000,1400000,4,1,500000,100000,1300000,300000,0
1,1,1,5100000,15300000,4,2,6900000,3300000,17600000,2700000,1
3,1,0,9800000,25600000,10,1,24400000,6700000,37000000,11500000,0
2,1,1,8600000,21600000,16,4,15400000,300000,26800000,7100000,1
3,0,0,1600000,3900000,20,4,900000,2500000,3200000,800000,1
1,0,1,2500000,6700000,2,1,3400000,2600000,9400000,1400000,0
0,1,0,9500000,22600000,6,4,24700000,13200000,29000000,5600000,1
2,0,1,3000000,7800000,14,2,6600000,2700000,9600000,1700000,1
0,0,0,5100000,13600000,18,1,1700000,3700000,14400000,7600000,0
2,0,1,7600000,23600000,6,1,20200000,2900000,22100000,10900000,0
5,1,0,8800000,18800000,14,4,17300000,10100000,32700000,5400000,1
4,0,1,1100000,2900000,4,2,2800000,1000000,4100000,1600000,1
3,1,0,8700000,30500000,2,1,11800000,1800000,24600000,8100000,1
5,0,0,6100000,23600000,4,3,17400000,5100000,15600000,4800000,1
2,0,1,1900000,7000000,14,4,4800000,3500000,4500000,2100000,1
1,0,0,9900000,38700000,6,3,19400000,12600000,35800000,6500000,1
0,1,0,5800000,21100000,6,1,7900000,2400000,16000000,5600000,0
2,0,1,9500000,37000000,8,4,21800000,18300000,19200000,11700000,1
3,1,1,7900000,26600000,12,1,17100000,1400000,22500000,8700000,0
1,0,1,1300000,4500000,14,3,2700000,2100000,3700000,1600000,1
4,1,1,700000,2600000,18,1,600000,600000,2100000,300000,0
3,1,0,600000,1200000,2,4,1100000,500000,2300000,700000,1
0,1,0,9400000,33000000,4,2,15400000,5000000,25100000,7800000,1
2,0,1,3800000,12500000,14,4,3700000,6700000,14600000,5300000,1
3,1,1,7800000,26300000,20,4,1200000,11300000,24100000,5300000,1
3,1,1,7800000,27700000,6,1,2000000,8000000,26100000,5300000,0
4,0,0,2700000,7000000,4,1,1100000,2300000,8300000,2700000,0
5,0,0,600000,2300000,4,1,0,0,1900000,200000,0
3,0,1,8000000,28800000,10,2,18800000,7500000,16300000,11900000,1
0,0,1,4000000,11000000,8,4,4400000,6100000,14700000,4200000,1
1,0,1,3300000,10800000,2,2,6000000,3800000,11000000,4700000,1
2,1,0,5800000,13300000,4,4,8400000,5400000,18600000,4500000,1
3,1,1,2400000,4800000,12,4,6800000,300000,7300000,3300000,1
4,0,0,7600000,29700000,6,2,3200000,2900000,27800000,11000000,1
2,0,1,2500000,6900000,12,1,5800000,1600000,6400000,3600000,0
2,1,0,3300000,11800000,4,1,5700000,3700000,6800000,2600000,1
3,1,0,9800000,30300000,2,2,10700000,4600000,32100000,5600000,1
0,1,1,1000000,3800000,8,2,2500000,1000000,2100000,1300000,1
0,0,1,2500000,8800000,14,1,7300000,1400000,8500000,3600000,0
0,1,0,1900000,6800000,4,4,100000,3400000,4900000,2400000,1
3,1,0,3100000,8500000,12,1,8700000,5100000,12000000,2000000,0
5,1,1,6000000,11900000,2,2,2500000,0,19200000,4200000,1
5,0,0,6500000,21600000,10,1,1600000,10900000,22300000,6600000,0
2,0,1,5900000,15800000,2,1,14300000,4300000,20300000,5500000,0
5,0,1,6500000,15800000,16,1,9200000,9900000,17400000,7100000,0
0,1,1,3800000,11200000,20,1,1100000,6400000,12000000,5400000,0
3,0,1,3000000,11400000,10,1,1800000,4200000,10900000,1500000,0
0,1,0,4300000,16900000,18,1,200000,5800000,12000000,6200000,0
4,0,1,3500000,8300000,2,4,7900000,5500000,12600000,1800000,1
3,0,0,300000,500000,2,1,700000,200000,800000,400000,0
3,0,1,600000,1400000,16,1,600000,300000,2400000,900000,0
0,1,1,800000,1700000,4,4,2300000,1100000,3200000,400000,1
0,0,1,5600000,19100000,14,4,16700000,4700000,15100000,7700000,1
2,0,1,1800000,3600000,4,1,3400000,1100000,6200000,1500000,0
0,1,0,6800000,20800000,20,4,16500000,11900000,26700000,8000000,1
2,1,1,4200000,16800000,2,1,3300000,0,14100000,3700000,1
1,0,1,200000,400000,6,4,300000,100000,600000,0,1
2,1,1,8500000,31800000,6,3,17000000,900000,26600000,5600000,1
2,0,1,2800000,10100000,16,1,2900000,2900000,7200000,4100000,0
0,1,1,3600000,8600000,6,1,3500000,3300000,11300000,5200000,0
1,0,0,6200000,19500000,20,1,3300000,7100000,22400000,8000000,0
1,1,0,2700000,10000000,2,2,6500000,2700000,7700000,3400000,1
1,1,0,6800000,22900000,4,1,3900000,9400000,17300000,4400000,1
2,0,0,6300000,24500000,18,4,10200000,3500000,18200000,8200000,1
4,0,0,8800000,19100000,6,2,17600000,8800000,20600000,12400000,1
1,1,0,5900000,13000000,2,1,16300000,5000000,12000000,3800000,0
5,0,1,9800000,37900000,18,1,6700000,4900000,34300000,6200000,0
2,1,0,3300000,8300000,6,3,4700000,3100000,8300000,4600000,1
4,1,1,300000,500000,14,1,700000,100000,800000,100000,0
1,0,1,4800000,11600000,16,3,1400000,9400000,11800000,6500000,1
1,1,0,7500000,28300000,16,3,9700000,1100000,16300000,6700000,1
2,0,0,8600000,21700000,4,1,5500000,10800000,30900000,6000000,0
4,0,0,8900000,21100000,6,2,4200000,200000,25800000,6200000,1
5,0,1,9600000,29600000,4,1,22900000,3500000,36600000,13200000,1
0,1,1,7700000,18100000,18,3,6100000,5100000,23800000,6300000,1
3,0,1,7000000,15200000,2,3,10300000,12500000,20700000,4000000,1
4,0,1,7800000,19500000,14,3,1900000,9000000,20400000,4400000,1
3,1,0,5100000,11000000,6,1,-100000,5800000,11600000,7500000,0
4,1,0,9400000,32600000,4,4,18200000,4000000,22000000,10200000,1
4,0,1,600000,2100000,6,2,1300000,1000000,2200000,300000,1
3,1,0,5100000,13300000,4,2,11200000,2700000,20200000,6100000,1
2,1,1,3800000,14400000,2,1,2300000,1400000,7600000,2400000,0
2,0,1,5300000,21200000,14,1,2200000,5000000,20900000,7700000,0
5,0,0,1100000,3600000,12,1,1300000,700000,3100000,1400000,0
3,0,0,6400000,14400000,10,1,10600000,10000000,21200000,5100000,0
0,0,1,5100000,14500000,14,2,11000000,1100000,12300000,6000000,1
3,1,1,5300000,16900000,2,1,15800000,3100000,14300000,6800000,1
1,1,0,6700000,18700000,8,2,9300000,4100000,17100000,6900000,1
2,0,0,4000000,9400000,8,4,4400000,3700000,10200000,4800000,1
2,0,1,3900000,11600000,8,4,5800000,3100000,12900000,5000000,1
1,1,1,1600000,4900000,16,1,4300000,1100000,3900000,2000000,0
3,1,0,2700000,7800000,14,4,5400000,5300000,5700000,2100000,1
3,1,0,1400000,3800000,8,4,1700000,200000,5300000,1500000,1
4,0,1,8000000,19200000,18,3,2500000,8900000,19000000,5300000,1
3,1,1,8200000,28900000,10,3,23800000,4500000,28700000,10900000,1
5,1,1,4800000,10300000,8,4,4800000,6800000,11100000,4300000,1
4,1,0,8100000,19000000,6,1,4100000,14500000,19100000,11900000,0
4,0,0,5900000,14900000,14,4,2600000,9500000,16000000,3500000,1
5,1,1,8100000,32100000,6,4,18200000,1800000,24100000,6500000,1
0,1,0,1400000,5000000,8,3,1800000,1900000,3200000,1500000,1
1,1,0,1600000,6300000,2,3,3000000,600000,5200000,900000,1
4,1,0,4600000,9400000,18,1,800000,2400000,11500000,6300000,0
1,0,0,2900000,8900000,6,1,900000,5600000,9700000,1800000,0
2,1,1,8600000,24900000,20,2,13600000,7600000,31800000,5400000,1
4,0,0,3800000,14900000,20,1,6500000,3500000,12200000,2500000,0
0,0,0,8200000,20300000,4,3,13100000,10200000,25900000,7800000,1
3,1,0,3200000,10100000,20,3,3400000,4800000,9000000,3900000,1
0,0,1,8100000,23800000,10,4,5400000,15500000,20700000,8800000,1
1,1,1,9800000,23300000,12,1,3200000,12600000,30500000,13900000,0
0,0,0,200000,500000,20,2,500000,200000,600000,200000,1
0,0,0,6600000,14100000,20,1,6800000,5100000,25400000,7800000,0
0,0,0,9100000,18300000,14,1,6100000,9200000,34100000,10000000,0
2,0,0,5500000,20400000,12,4,8800000,9400000,12300000,3300000,1
4,0,0,7200000,27400000,8,3,14100000,14200000,19400000,9500000,1
1,0,0,2400000,5600000,16,1,3700000,600000,7200000,3400000,0
4,1,0,9600000,25500000,20,1,4000000,11400000,23800000,11100000,0
1,1,1,5800000,16700000,12,3,1100000,9700000,17200000,7500000,1
4,0,0,2300000,6000000,8,3,6000000,400000,4800000,2200000,1
1,0,0,300000,1200000,4,1,800000,100000,1100000,200000,1
0,0,0,9900000,27000000,16,2,3500000,17300000,36900000,11500000,1
2,0,0,3500000,14000000,2,1,8700000,1600000,11800000,2900000,1
2,1,0,4800000,18500000,20,2,5700000,5500000,14700000,5800000,1
2,0,0,1600000,5200000,16,1,300000,2900000,5600000,1600000,0
5,1,1,800000,2500000,12,1,500000,0,3200000,800000,0
1,1,1,9000000,33500000,18,3,18800000,10500000,28100000,5300000,1
1,1,0,8300000,28900000,12,1,18300000,3900000,32500000,5800000,0
4,1,0,2800000,6100000,18,1,2200000,4200000,8400000,2000000,0
1,1,1,6400000,17300000,10,4,10000000,1100000,15400000,8200000,1
2,0,1,6000000,12600000,16,2,4800000,5300000,23900000,5100000,1
0,1,0,2900000,9800000,16,1,5400000,4300000,8600000,2400000,0
0,1,0,6500000,24100000,20,1,3300000,6000000,22900000,9700000,0
1,1,1,200000,400000,8,2,200000,200000,700000,300000,1
1,0,0,8400000,24600000,14,4,1800000,13100000,31300000,8200000,1
1,1,1,6100000,17800000,20,3,16000000,10900000,16900000,4300000,1
2,1,1,8000000,31200000,8,2,6800000,3500000,21000000,10300000,1
5,0,1,900000,1800000,14,1,2300000,300000,1800000,700000,0
2,1,0,7300000,20000000,6,3,13100000,10700000,17900000,9100000,1
4,0,1,3700000,7400000,12,1,4800000,6800000,10500000,4400000,0
2,1,0,5200000,17200000,12,2,3500000,1300000,20000000,6300000,1
1,1,0,7200000,21000000,14,1,3500000,11600000,21800000,4600000,0
0,0,1,9400000,34200000,10,1,13100000,15600000,32600000,6300000,0
3,0,1,3400000,12400000,2,3,2500000,3900000,12200000,4600000,1
0,1,0,600000,2300000,8,2,1800000,500000,2200000,300000,1
0,0,1,3300000,10000000,16,1,3000000,4100000,12900000,4100000,0
2,1,1,5900000,14300000,2,1,11900000,4400000,16900000,4100000,0
3,0,0,1300000,3600000,16,2,2400000,2300000,3300000,1900000,1
4,1,1,5700000,16900000,4,3,13000000,7400000,22000000,8400000,1
2,0,0,7700000,27300000,16,4,7300000,4600000,24800000,9100000,1
4,0,1,7000000,23500000,18,1,15000000,9500000,19700000,7800000,0
5,1,0,8100000,21900000,18,1,5200000,3400000,16200000,9600000,0
1,1,1,1900000,4200000,4,2,4700000,2800000,7500000,900000,1
2,1,0,4500000,9100000,18,2,-100000,600000,12400000,2500000,1
0,0,1,9600000,34000000,12,3,23800000,10300000,38100000,7800000,1
1,0,1,5400000,20700000,8,4,1900000,800000,19000000,3600000,1
1,0,1,7800000,27200000,16,1,16100000,3400000,17100000,11400000,0
1,1,1,8200000,19100000,8,2,17200000,12200000,31500000,6600000,1
2,1,0,8900000,28500000,6,1,22200000,16600000,21500000,9300000,0
1,1,0,1400000,3100000,20,1,200000,1200000,4200000,1800000,0
2,1,0,1700000,5900000,16,2,3100000,300000,3700000,1300000,1
0,1,0,5300000,19500000,12,4,9800000,3300000,15200000,3200000,1
3,1,0,6500000,25200000,10,4,15400000,10900000,14000000,8100000,1
2,1,0,5900000,14000000,8,2,4700000,9500000,17800000,6700000,1
4,1,1,9800000,27000000,2,1,18700000,3000000,23000000,9700000,0
3,1,1,7700000,16200000,6,1,11500000,15100000,22500000,6400000,0
1,1,0,7900000,27100000,10,4,20000000,9800000,22200000,6600000,1
4,1,0,3500000,8900000,20,4,7100000,1500000,13700000,3200000,1
4,0,0,2400000,6600000,2,3,6100000,3300000,5600000,3000000,1
5,1,0,9900000,35700000,10,1,7900000,4300000,39200000,13000000,0
0,1,0,3900000,14500000,8,1,5900000,3000000,10300000,3400000,0
2,0,1,7300000,28500000,10,4,21500000,3100000,15800000,4300000,1
0,1,1,6400000,21900000,12,3,15400000,10100000,24000000,5300000,1
4,1,0,7100000,19800000,18,1,7100000,3400000,20900000,7100000,0
2,0,0,8800000,19000000,14,2,13700000,13900000,27100000,6100000,1
5,1,0,7400000,21000000,4,2,21300000,3800000,26400000,3900000,1
2,0,0,4400000,12000000,20,1,9300000,2700000,15700000,3400000,0
3,1,1,8600000,30300000,14,1,12000000,4100000,23800000,9100000,0
3,0,0,6900000,26000000,14,4,14800000,4200000,18500000,3600000,1
4,1,0,9600000,27500000,20,3,23400000,7500000,37800000,6300000,1
2,1,1,8100000,25700000,8,1,22300000,11500000,19800000,9500000,0
0,0,0,2600000,9400000,18,4,2800000,1400000,5100000,2300000,1
3,1,1,9300000,26100000,14,2,4700000,16100000,34500000,11600000,1
2,0,1,2100000,5600000,16,1,400000,300000,7100000,1200000,0
4,0,1,9000000,21500000,14,1,16600000,17300000,24300000,13100000,0
3,0,1,7000000,19200000,4,4,8600000,13700000,19200000,7700000,1
3,0,0,2200000,6400000,20,3,6300000,3900000,8300000,2900000,1
5,1,1,7500000,28200000,2,1,8200000,5800000,24400000,6000000,1
1,1,1,8300000,16800000,2,1,22000000,6600000,27300000,4500000,0
2,0,0,300000,600000,2,1,600000,300000,1100000,400000,0
0,0,1,300000,800000,4,2,800000,200000,600000,200000,1
3,1,0,3900000,14900000,4,3,4700000,4000000,14900000,5500000,1
0,0,0,6600000,20300000,6,1,10800000,900000,23100000,9800000,0
0,1,0,4100000,10700000,8,4,11500000,700000,11200000,3100000,1
5,1,1,1800000,5300000,12,1,2800000,2000000,4700000,2000000,0
3,0,1,7000000,16100000,16,1,2000000,5200000,23000000,10000000,0
2,0,1,5100000,13700000,6,2,7800000,9800000,12700000,5100000,1
1,0,1,300000,600000,8,4,600000,300000,1100000,200000,1
4,0,1,4300000,11400000,2,2,10000000,3900000,8900000,3300000,1
0,1,1,3200000,12000000,14,2,5200000,1400000,12100000,3400000,1
4,0,1,4200000,11500000,6,2,10600000,7600000,11300000,5000000,1
0,0,1,9600000,22900000,8,1,4300000,14700000,33300000,7800000,0
4,1,0,1300000,3600000,10,3,3200000,1900000,2900000,1100000,1
3,0,0,2400000,9300000,2,3,3100000,4400000,5200000,1500000,1
0,1,0,600000,1600000,10,2,1600000,100000,1100000,300000,1
5,1,1,9600000,38000000,10,1,2100000,13600000,38200000,9400000,0
0,1,0,400000,1200000,4,4,900000,300000,1200000,300000,1
4,1,0,5900000,19900000,14,1,14200000,6800000,22100000,3200000,0
0,1,1,700000,1400000,10,2,1300000,200000,1700000,500000,1
0,0,1,8600000,17700000,20,3,22000000,0,30800000,7400000,1
0,1,1,9000000,34000000,4,1,2000000,8900000,20000000,12400000,1
3,1,1,5100000,20400000,6,4,1700000,2600000,11800000,7600000,1
4,0,1,500000,1500000,6,1,1300000,500000,1700000,200000,0
2,1,0,1600000,3800000,10,4,3800000,1100000,5500000,1600000,1
0,1,1,9800000,23900000,14,1,1000000,13400000,21100000,7200000,0
4,1,0,7800000,29700000,20,2,22000000,700000,26800000,6300000,1
4,0,0,6500000,24000000,16,1,5600000,5100000,15600000,6700000,0
5,1,1,7500000,26500000,12,1,16500000,2900000,23700000,6000000,0
4,1,1,8900000,23400000,18,4,16500000,3100000,24900000,5800000,1
4,1,1,1800000,5800000,14,1,600000,3300000,3600000,2000000,0
1,0,1,7600000,27800000,6,1,1300000,700000,20100000,10900000,0
4,1,1,1200000,4600000,6,4,1900000,200000,4800000,1500000,1
5,1,1,2700000,10400000,2,3,2800000,700000,10300000,1400000,1
1,0,1,4600000,10900000,12,1,1200000,1200000,10900000,6600000,0
2,0,0,6900000,18700000,10,3,12800000,5700000,21200000,5200000,1
4,1,1,8400000,25200000,2,1,8100000,9300000,27700000,10500000,1
0,1,0,300000,500000,18,3,300000,400000,1200000,100000,1
2,0,1,9500000,37500000,4,1,10200000,16800000,34100000,12900000,1
3,1,1,1900000,5900000,8,3,700000,2100000,6200000,1500000,1
3,0,0,4200000,14500000,20,4,4500000,5900000,8900000,4600000,1
4,1,1,2200000,7900000,18,4,5100000,1700000,8500000,1600000,1
5,1,1,7100000,19700000,4,3,7700000,12900000,23600000,5800000,1
4,1,0,3500000,11600000,10,1,6300000,5200000,10300000,2300000,0
5,0,0,400000,800000,18,1,900000,500000,1400000,400000,0
2,1,1,8800000,34400000,2,3,10500000,12500000,29300000,5900000,1
0,0,0,1800000,6600000,10,3,5000000,2000000,6000000,1500000,1
1,1,1,7600000,29300000,14,3,13900000,4000000,30000000,9100000,1
1,1,1,1000000,3200000,4,4,2000000,1500000,2200000,1300000,1
2,0,1,8200000,27200000,10,4,9200000,6400000,25500000,6000000,1
5,0,1,3600000,12400000,8,1,8800000,1000000,10700000,4000000,0
5,1,0,9400000,23700000,18,4,21500000,3500000,22400000,5600000,1
5,0,0,2600000,9100000,4,1,6400000,1400000,5900000,3400000,1
5,0,0,9500000,30700000,10,4,16300000,3700000,30300000,13100000,1
0,1,1,3500000,11700000,14,2,2700000,700000,11400000,4800000,1
5,0,1,9800000,35700000,10,3,9400000,18900000,31200000,12000000,1
4,1,0,800000,3100000,18,3,400000,700000,1900000,1100000,1
0,0,0,9700000,37300000,20,3,12100000,16200000,24100000,10500000,1
3,1,0,6200000,21300000,12,3,6500000,11600000,19200000,5000000,1
1,0,1,4400000,16600000,18,1,800000,5300000,13400000,5100000,0
2,1,0,1800000,3800000,4,4,5100000,2700000,4600000,1400000,1
3,1,0,1700000,5300000,14,3,300000,700000,4500000,800000,1
3,1,0,3900000,14100000,16,1,2500000,2200000,13700000,2900000,0
2,1,1,2200000,7900000,6,3,3400000,1800000,8600000,2400000,1
3,0,1,6300000,17700000,2,1,16800000,900000,16400000,5300000,0
2,0,0,2200000,8700000,18,3,3900000,3300000,7600000,1300000,1
1,1,0,8100000,28400000,6,3,20300000,10500000,21800000,7700000,1
4,0,0,6800000,17000000,2,3,18000000,3800000,27100000,9400000,1
0,1,0,4700000,14800000,20,4,12300000,5000000,15400000,3700000,1
3,1,1,2200000,5300000,2,1,1600000,1700000,5800000,2800000,0
3,1,1,3500000,13000000,6,1,6100000,3500000,13300000,4300000,0
1,0,1,3500000,11600000,10,4,3100000,2700000,9000000,4500000,1
5,0,0,500000,1500000,12,1,100000,600000,1100000,200000,0
